Nom;Pays;Date_debut;Date_fin;Ville;Nombre;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Born to Burn;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Metal Corner
Bouncil Souls;NA;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Warzone
Boysetsfire;Etats-Unis;1994-10;false;Newark;1;Hard n'Heavy stage;0;0;0;0;0;0;0;0;0;0;0
Brain Police;Islande;1998;false;NA;1;0;0;0;0;0;0;Valley;0;0;0;0;0
Brant Bjork and the Bros;Etats-Unis;NA;false;NA;2;0;0;0;0;Terrorizer tent;0;0;0;0;Valley;0;0
Breakdust;France;2003;false;NA;2;0;0;0;0;0;0;0;0;Metal Corner;Main 02;0;0
Bright Curse;Angleterre;41065;false;London;1;0;0;0;0;0;0;0;0;0;0;0;Valley
Bring Me the Horizon;Angleterre;2004-03;false;Sheffield;1;0;0;0;0;0;0;0;0;0;0;Main 02;0
Brodequin;Etats-Unis;1998;false;NA;1;0;0;0;0;0;0;0;0;0;0;Altar;0
Broken Teeth;Angleterre;NA;false;NA;1;0;0;0;0;0;0;0;0;0;Warzone;0;0
Brujeria;Mexique;1989;false;Tijuana;2;0;Main;0;0;0;0;Altar;0;0;0;0;0
Brutal Truth;Etats-Unis;1990;true;Rochester;4;0;Gibson stage;0;Terrorizer tent;0;0;Altar;0;Altar;0;0;0
Brutality Will Prevail;Pays de Galles;NA;false;NA;1;0;0;0;0;0;0;0;0;Warzone;0;0;0
Buckcherry;Etats-Unis;1995;false;Anaheim;2;0;0;0;Main 01;0;0;0;0;Main 02;0;0;0
Bukowski;France;2007;false;NA;1;0;0;0;0;0;0;Main 01;0;0;0;0;0
Bullet for My Valentine;Pays de Galles;2003;false;Bridgend;2;0;0;0;0;0;0;0;Main 02;0;0;Main 01;0
Bunkum;France;NA;false;NA;1;0;0;0;0;0;0;Metal Corner;0;0;0;0;0
Burning Heads;France;1988;false;Orléans;1;0;0;0;0;0;0;0;0;Warzone;0;0;0
Bury Tomorrow;Angleterre;2006;false;Southampton;1;0;0;0;0;0;0;0;0;0;0;Main 02;0
Bury Your Dead;Etats-Unis;2001;false;Boston;1;0;0;0;0;0;0;0;Warzone;0;0;0;0
Butcher Babies;Etats-Unis;2010;false;Los Angeles;1;0;0;0;0;0;0;0;0;0;Main 01;0;0
Buzzcocks;Angleterre;1976;false;Bolton;1;0;0;0;0;0;0;0;Warzone;0;0;0;0
Caliban;Allemagne;NA;false;NA;1;0;0;0;0;0;0;0;0;0;0;Warzone;0
Cancer Bats;Canada;2004-05;false;Toronto;1;0;0;0;0;0;0;Warzone;0;0;0;0;0
Candiria;Etats-Unis;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Warzone
Candlemass;Suède;1984;false;Stockholm;3;0;0;Second stage;0;Rock Hard tent;0;0;Altar;0;0;0;0
Cannibal Corpse;Etats-Unis;NA;false;NA;3;0;Gibson stage;0;0;0;0;Altar;0;0;Altar;0;0
Capricorns;Angleterre;2003;true;NA;1;Hard n'Heavy stage;0;0;0;0;0;0;0;0;0;0;0
Captain Cleanoff;Australie;1997;false;NA;1;0;0;0;0;0;0;0;Altar;0;0;0;0
Carach Angren;Pays-Bas;2003;false;NA;1;0;0;0;0;0;0;0;0;0;Temple;0;0
Carcariass;France;1991;false;NA;1;0;0;0;0;0;0;0;0;0;0;0;Altar
Carcass;Angleterre;1985;false;Liverpool;3;0;0;Second stage;0;Main 02;0;0;0;Altar;0;0;0
Carnal Lust;France;1998;false;NA;1;0;0;0;0;0;0;0;0;Altar;0;0;0
Carnifex;Etats-Unis;2006;false;NA;1;0;0;0;0;Terrorizer tent;0;0;0;0;0;0;0
Carnival in Coal;France;1995;true;NA;1;Main;0;0;0;0;0;0;0;0;0;0;0
Carpathian Forest;Norvège;1990;false;NA;1;0;0;0;0;0;0;0;Temple;0;0;0;0
Caspian;Etats-Unis;NA;false;NA;1;0;0;0;0;0;0;0;0;Valley;0;0;0
Cathedral;Angleterre;NA;NA;NA;1;0;0;0;Rock Hard tent;0;0;0;0;0;0;0;0
Cattle Decapitation;Etats-Unis;1996;false;San Diego;1;0;0;0;0;0;0;0;0;0;0;Altar;0
Cavalera Conspiracy;Brésil;2007;false;NA;3;0;0;Main;0;0;Main 01;0;0;0;Main 01;0;0
Celeste;France;NA;false;NA;1;0;0;0;0;0;0;Valley;0;0;0;0;0
Celtic Frost;Suisse;1984-06;true;Zurich;1;Hard n'Heavy stage;0;0;0;0;0;0;0;0;0;0;0
Cephalic Carnage;Etats-Unis;1992;false;Denver;1;Hard n'Heavy stage;0;0;0;0;0;0;0;0;0;0;0
